outcome,income,sex,eth,focc,fedu,mocc,medu,weights
3,4640.59883262842,2,1,5,1,10,0,517.8559
3,10656.874399295086,1,4,9,11,2,12,299.49933
4,20679.19573262842,1,2,9,4,10,0,351.98727
3,10032.48873262842,2,1,9,11,9,0,544.62213
3,2629.04513262842,1,1,7,6,9,11,133.35887
1,898.60167262842,1,1,8,1,10,0,1028.0908
2,1683.54513262842,1,1,10,1,10,0,202.41028
3,9327.82343262842,1,1,8,1,9,0,3416.092
3,10995.827065961754,1,1,10,9,10,5,507.78036
3,3654.82313262842,1,1,8,5,10,5,197.91972
2,1558.66763262842,1,1,5,1,10,0,188.38307
3,2718.24313262842,2,1,10,1,10,0,260.67728
3,13555.81373262842,1,1,10,1,9,7,192.1055
1,488.29039262842,1,1,10,1,10,0,1156.3981
3,4593.57003262842,2,1,9,1,10,0,1539.0703
3,2116.58953262842,1,1,10,1,10,0,69.606857
3,9265.38393262842,2,1,9,1,9,8,109.51224
3,9898.69063262842,1,1,10,1,9,3,201.29073
2,1335.67243262842,1,1,10,1,10,0,394.89789
3,3042.32973262842,2,1,10,1,10,0,179.09232
3,2144.32143262842,1,1,10,9,10,6,152.49239
3,4020.53553262842,1,1,9,1,10,0,209.4781
3,8560.71893262842,2,1,10,1,10,0,421.38589
3,2459.62073262842,1,2,9,1,10,0,27.723532
3,7207.58413262842,2,1,8,10,5,7,640.34662
3,2585.04873262842,1,1,10,1,10,0,970.70618
3,4154.33273262842,1,1,10,1,10,0,268.36966
3,5010.63443262842,1,1,10,1,10,0,504.99191
3,5394.18623262842,2,4,10,11,10,10,46.776199
3,12976.02573262842,2,1,9,1,10,0,400.09982
4,23961.46906596175,1,3,9,1,9,7,42.468143
3,3842.13933262842,2,1,8,1,9,0,291.91934
3,4475.4459326284195,1,1,8,1,9,0,191.65027
3,2816.36103262842,1,1,9,1,9,0,96.915634
2,1970.74553262842,1,1,10,1,10,0,88.515816
2,1737.06393262842,1,1,10,1,10,0,188.83286
3,4718.79023262842,1,1,10,1,10,0,890.11121
3,7784.69553262842,2,1,9,1,9,4,160.26768
3,2499.70773262842,1,1,10,11,10,8,1172.309
3,9598.85463262842,1,1,9,5,10,6,736.18701
3,7088.95033262842,2,1,9,1,9,8,29.711866
3,3199.40713262842,1,1,10,1,9,3,1444.4973
3,12486.32873262842,1,1,10,1,10,0,174.89586
2,1737.06393262842,1,1,10,1,10,0,296.94742
3,3574.54483262842,1,1,10,9,10,8,540.82635
3,5676.62513262842,1,3,9,3,9,0,123.70712
3,3342.62983262842,1,3,7,11,10,5,196.42786
4,25020.44573262842,1,4,5,9,5,12,799.88257
3,2247.43403262842,1,1,10,1,10,0,209.63716
3,4363.05973262842,1,1,10,1,10,0,420.44269
3,8620.75703262842,1,1,8,1,9,0,93.8256
3,8557.83413262842,1,1,7,9,9,4,327.54324
3,7668.73793262842,1,1,8,10,9,10,104.47703
2,1826.26203262842,2,1,9,9,10,6,145.31085
3,2450.6488326284198,1,1,8,1,10,11,399.10138
3,7395.79213262842,1,1,8,1,10,0,241.78625
3,9318.90353262842,1,1,9,3,10,2,451.04141
2,1558.54823262842,2,1,10,8,7,0,765.68604
3,2053.71723262842,2,1,10,1,10,5,327.66171
4,18238.71473262842,2,1,10,2,10,0,203.97586
4,19540.55473262842,1,1,7,1,10,0,152.15706
4,24928.57273262842,2,1,10,1,10,0,342.98294
3,4288.13003262842,1,3,9,1,10,0,262.75598
3,6509.16273262842,2,1,10,1,10,10,539.62531
4,19219.89273262842,1,1,7,8,9,5,284.59814
3,5792.47873262842,1,1,7,1,10,0,292.41745
3,3467.50723262842,1,1,10,1,10,0,690.34314
3,4973.47573262842,1,1,10,1,9,0,254.68239
3,5527.98353262842,1,1,10,1,10,0,687.91028
3,13332.81873262842,2,2,4,9,9,5,866.09033
3,9693.53533262842,2,1,10,1,10,0,47.500423
3,8209.48743262842,1,1,9,6,9,5,2496.927
3,14034.64073262842,1,3,7,1,10,0,47.831089
4,15116.78073262842,1,4,10,12,10,0,917.11835
3,2013.5780326284198,1,1,10,1,10,0,203.01865
3,14313.99773262842,2,1,10,1,10,0,43.638271
4,16288.903732628421,1,1,7,11,9,10,1026.3918
2,1732.27273262842,1,1,8,1,10,0,473.46054
3,5704.30823262842,2,1,10,5,10,11,202.49147
3,11015.38773262842,1,1,10,1,2,8,1274.9149
3,3253.43183262842,1,3,9,1,9,0,45.622749
4,22698.61973262842,1,3,5,11,2,12,47.323814
3,4456.39523262842,1,3,10,1,9,0,88.900322
3,4734.12033262842,1,1,7,9,10,0,248.44592
1,635.46727262842,1,1,10,1,5,0,235.10007
3,2165.21473262842,1,1,10,1,10,0,387.13705
2,1870.86113262842,1,1,5,7,10,7,524.25995
3,2183.05433262842,1,1,7,9,10,3,7987.9087
3,2361.45063262842,2,1,8,9,10,9,1312.3879
3,2270.61003262842,1,1,10,1,10,0,196.79915
3,13985.18573262842,2,1,8,1,9,0,863.5896
2,1380.27153262842,2,1,5,9,2,8,437.77435
3,5642.58613262842,2,1,5,1,9,0,142.27966
3,8805.08413262842,1,1,10,1,10,0,239.09062
3,3969.07633262842,2,1,7,3,10,0,238.35213
2,1966.81073262842,1,1,9,5,9,3,133.33627
3,9404.74043262842,2,1,7,1,10,0,514.39276
3,8432.27363262842,1,1,10,1,10,0,40.83828
3,2361.45063262842,1,1,10,1,10,0,1107.9258
3,2629.04513262842,1,1,10,1,10,0,441.57758
3,4687.97233262842,2,1,10,1,10,0,299.28961
3,3521.02603262842,1,3,9,10,9,7,182.49004
2,1514.53613262842,1,1,10,11,10,7,257.40054
3,3458.58733262842,2,1,10,1,10,0,1615.0435
3,5728.16663262842,1,1,10,1,10,0,144.6205
1,909.96281262842,1,1,8,5,10,10,352.46109
3,3057.19593262842,1,1,8,1,10,4,133.55766
3,10807.54073262842,2,1,10,1,9,0,394.89709
3,5953.43233262842,1,1,10,1,10,4,345.79044
2,1469.46953262842,1,1,3,1,10,0,74.881371
3,13040.85773262842,1,1,8,11,10,6,642.53638
3,8205.41323262842,1,1,5,1,9,0,149.99135
3,3727.96573262842,1,1,10,1,10,0,201.73325
3,5554.74283262842,1,3,9,1,9,0,58.886913
3,6570.11493262842,2,1,3,9,10,10,82.776787
3,6464.56363262842,1,1,10,1,10,0,215.88185
3,6375.36543262842,2,1,10,1,9,0,1465.6537
2,1879.78093262842,1,1,10,9,2,6,60.478222
3,3998.23603262842,1,1,8,7,9,7,930.82825
3,2593.36563262842,1,1,10,1,10,0,176.33952
2,1291.07343262842,1,1,8,12,9,11,870.24664
2,1781.66303262842,2,1,8,1,9,2,893.05145
3,6346.33803262842,1,1,9,1,9,0,161.75255
2,1153.44173262842,1,1,10,1,10,0,226.62361
3,3092.87513262842,1,1,9,7,10,8,139.12903
3,10924.46873262842,2,4,2,12,2,12,390.04413
3,14028.56373262842,1,1,10,8,10,7,255.9904
3,9044.40153262842,2,3,7,1,10,0,347.845
3,5801.52413262842,1,1,8,3,9,6,198.38611
3,2031.5766326284202,1,1,10,1,10,0,256.24081
3,3567.73093262842,1,1,7,1,10,0,45.980366
3,7534.94113262842,1,1,9,1,10,5,320.62216
3,5839.28483262842,2,1,10,1,10,0,436.71246
3,3791.44843262842,2,1,8,7,10,9,4751.6235
2,1166.19593262842,1,1,10,1,10,0,661.43652
3,10549.83673262842,2,2,9,3,10,0,69.209099
1,934.28093262842,2,1,8,1,9,0,2020.0193
2,1424.87053262842,1,1,10,1,9,0,506.34293
3,11013.66673262842,2,3,3,9,9,6,27.729445
2,1103.75733262842,1,1,10,1,10,0,113.82362
2,1023.4790326284201,2,1,8,1,10,5,313.79892
3,11156.38373262842,1,1,10,1,10,0,1665.494
3,6009.65353262842,1,1,10,1,9,10,1766.7242
4,20468.66573262842,1,1,10,1,10,0,106.5396
3,10184.084065961753,2,1,8,12,10,8,144.45964
4,27105.60773262842,1,1,10,1,10,0,282.68958
3,7190.63643262842,1,1,8,9,9,0,1343.1698
3,5773.06173262842,1,1,10,1,10,0,153.8996
3,3788.62053262842,2,2,7,3,10,10,451.51404
3,2361.45063262842,2,1,10,4,9,7,239.02312
2,1950.65503262842,1,1,10,1,10,0,527.0155
3,3183.00823262842,1,1,9,1,9,1,235.73967
3,2482.59583262842,1,1,10,1,10,0,379.3844
3,6950.40883262842,1,1,7,6,10,7,318.03458
4,15384.37373262842,1,2,10,1,10,0,596.50476
4,18982.031399295087,1,4,9,11,10,10,941.45697
3,3030.43643262842,1,1,9,1,10,0,753.60834
3,3814.80633262842,1,1,9,7,10,4,158.58344
3,8634.75403262842,1,1,2,9,9,8,73.91259
3,5037.39373262842,2,1,8,12,8,12,58.607857
3,4725.20033262842,1,1,10,1,10,0,366.7485
3,2611.20553262842,2,3,9,1,10,0,139.47937
3,6412.95423262842,2,1,10,1,10,0,601.70667
3,5065.15593262842,1,1,10,1,10,0,22.597422
3,2068.88083262842,2,1,9,1,10,0,1669.8427
3,7106.79023262842,2,1,7,1,10,0,1039.3292
3,3833.21943262842,1,1,7,1,10,0,121.52872
3,3788.62053262842,2,1,10,1,9,0,1155.2152
3,6286.16763262842,2,1,8,9,10,9,228.94946
3,14206.95873262842,2,1,10,1,10,0,359.93051
4,18227.20173262842,1,3,7,7,9,7,312.84311
4,15116.78073262842,1,1,7,1,10,0,553.18384
3,11490.93073262842,2,1,8,11,5,11,308.08566
3,3342.62983262842,2,1,8,9,9,8,920.99707
4,26444.93973262842,1,1,10,1,9,0,713.62201
2,1915.46013262842,1,1,8,9,9,8,439.82861
2,1623.11523262842,2,1,10,1,10,3,486.35751
3,6286.16763262842,1,1,9,1,10,0,266.41425
1,648.84697262842,1,1,3,1,9,0,276.78381
2,1719.22433262842,1,1,7,7,10,0,1497.98
1,831.09550262842,1,1,10,1,10,0,174.71501
3,14630.113399295087,2,4,9,10,10,8,314.39413
1,845.08281262842,1,1,5,1,10,0,507.27032
3,3610.22433262842,1,1,5,1,9,0,656.83746
2,1870.86113262842,2,1,10,1,9,11,1584.4841
3,7610.71253262842,1,1,9,1,10,0,109.7804
3,6785.67693262842,2,1,8,1,10,0,32.999657
3,9301.06363262842,1,1,10,1,9,5,504.68195
3,10210.88373262842,2,1,9,1,10,0,466.75052
3,4234.61103262842,1,3,10,8,9,4,424.43918
3,2039.8698326284198,1,1,10,1,10,0,171.92719
3,5883.56953262842,1,1,10,1,10,0,125.65129
2,1850.05383262842,1,1,10,1,10,0,220.52809
3,4328.15003262842,2,1,10,8,10,10,472.9379
2,1175.11573262842,1,1,10,1,10,4,273.63974
2,1425.83273262842,1,2,9,1,9,0,549.31299
3,3521.02603262842,1,1,8,1,9,4,823.95557
4,16518.96273262842,1,1,10,11,10,7,348.63943
3,3663.32313262842,1,1,10,12,10,8,1562.9872
3,4116.45423262842,1,1,5,9,9,8,41.61372
3,4524.50503262842,1,1,9,1,10,0,431.18106
3,2807.44133262842,2,1,10,1,10,0,3353.0608
3,3431.82803262842,2,1,10,1,10,0,198.13397
3,2450.6488326284198,2,1,8,1,10,0,442.71307
1,916.44133262842,1,1,8,3,10,0,117.37828
3,2588.26553262842,2,1,9,1,10,0,359.27231
3,2039.5182326284198,1,1,8,1,10,0,558.58185
4,18506.30873262842,2,3,9,11,10,8,143.371
3,5108.75263262842,1,1,10,1,10,0,60.534714
3,5786.65793262842,1,1,8,1,10,0,538.11591
3,2700.40353262842,1,1,10,1,10,0,981.25293
2,1915.46013262842,1,1,8,1,9,0,910.57843
3,8587.47873262842,1,3,7,1,2,6,41.548042
3,14768.42673262842,1,4,3,11,2,10,370.77408
2,1993.60843262842,2,1,10,1,10,0,376.94775
3,3647.91033262842,2,1,10,4,10,0,360.93683
3,9220.78533262842,1,1,5,1,10,0,214.1266
3,11771.85073262842,1,1,8,9,2,8,193.32185
3,13752.04873262842,1,1,10,1,9,5,355.67075
1,827.24321262842,1,1,10,1,10,0,259.05087
3,4502.20523262842,1,1,10,4,10,0,168.11208
4,18697.30873262842,2,3,9,1,10,0,218.46111
4,17346.73273262842,1,1,8,8,9,5,199.49782
3,3967.01653262842,1,1,10,1,9,4,3780.5715
3,4181.29753262842,2,3,10,1,10,0,174.59888
2,1166.19593262842,1,1,10,8,10,7,1611.5797
2,1388.31543262842,1,1,10,8,10,9,21.626253
4,21564.29073262842,2,3,7,9,9,7,2344.1353
3,6412.95423262842,1,1,10,10,10,0,601.70667
3,3521.02603262842,1,1,10,1,10,5,726.15723
3,6214.80873262842,1,1,5,1,9,7,564.40222000000006
3,7980.11543262842,1,1,7,1,10,0,18.62887
3,8999.08613262842,2,1,9,1,10,0,752.87274
1,755.88469262842,1,1,10,8,1,12,370.5264
4,17792.72273262842,1,1,10,10,9,0,1598.8796
2,1549.74783262842,1,1,3,1,9,10,271.56012
3,9550.81853262842,1,1,10,4,10,5,98.321411
3,4286.55973262842,1,1,9,2,10,8,536.22839
3,2548.76673262842,2,3,10,5,9,5,164.73219
4,23867.11573262842,2,1,9,1,9,7,507.43515
4,15830.36573262842,2,1,10,1,10,0,120.38789
3,3852.04163262842,1,1,10,1,10,0,327.61652
3,8180.96693262842,2,1,9,1,4,0,490.43109
4,21093.05273262842,1,1,10,1,10,7,67.140968
3,5108.24043262842,1,1,3,1,10,0,250.19223
2,1291.07343262842,2,1,8,1,10,0,134.60951
3,2807.44133262842,1,3,7,1,10,0,79.139587
4,23247.89873262842,2,4,9,1,10,0,280.0329
3,2882.37493262842,2,1,9,1,10,0,626.13586
3,2600.26043262842,1,1,10,1,9,0,589.93463
4,18340.48673262842,2,3,7,10,2,8,129.60835
2,1924.37993262842,1,1,7,1,10,0,545.4848
3,4011.61563262842,1,1,5,9,2,12,1836.1431
3,11203.45773262842,2,1,10,1,10,0,215.27176
3,5840.17693262842,2,3,7,1,9,6,278.75681
3,7465.31953262842,1,1,10,7,10,11,329.90842
3,3137.47433262842,1,1,10,7,10,4,44.750244
3,2307.48673262842,1,1,10,6,10,12,66.401154
4,15866.04373262842,2,1,10,10,10,8,202.86942
3,3117.85463262842,2,1,10,1,10,8,48.340664
1,666.68663262841994,1,1,7,1,9,0,1160.6281
3,2361.45063262842,1,1,8,1,9,0,1747.9512
3,4500.42153262842,1,1,9,1,9,0,388.63678
3,3060.93623262842,2,3,9,4,9,0,1129.9154
3,5178.32683262842,1,1,10,1,10,0,90.959991
4,18227.20173262842,2,3,7,4,10,5,312.84311
3,2816.60413262842,1,1,10,5,10,0,238.85693
3,7788.11103262842,2,1,8,1,10,0,766.9433
4,28496.49673262842,1,4,10,1,10,0,265.95538
3,4234.61103262842,1,1,10,1,10,0,225.18448
3,2181.98703262842,1,1,10,1,10,0,103.39586
3,2093.85633262842,1,1,7,1,9,0,160.16328
3,2629.04513262842,2,1,10,1,10,0,1520.3683
3,8293.12513262842,1,1,10,1,5,0,593.44031
3,4136.49283262842,2,1,10,1,10,0,451.5907
3,3778.23183262842,1,1,10,1,10,0,1038.8118
1,755.88469262842,2,1,10,1,10,4,732.22498
3,11308.02073262842,1,1,7,11,9,0,695.20001
3,2004.65813262842,1,1,10,1,10,3,1003.6773
2,1469.46953262842,2,1,8,9,10,0,882.30194
3,6214.80873262842,1,2,6,9,10,0,439.29282
3,6107.77113262842,1,1,8,11,9,0,2071.3245
3,2807.44133262842,1,1,9,5,10,2,1436.3639
3,4925.89613262842,1,1,5,3,10,8,238.5968
3,3301.59323262842,1,1,9,1,10,0,352.39352
3,6948.31023262842,1,1,10,1,10,0,280.22165
4,19576.68573262842,1,3,9,1,9,7,122.49973
3,4413.00703262842,1,1,8,5,10,0,348.71277
3,8337.72383262842,1,1,10,1,10,5,86.376984
3,6375.36543262842,1,1,9,1,10,0,102.37804
3,7953.27993262842,1,1,10,1,9,0,122.04192
2,1059.15823262842,1,1,9,1,10,0,395.39868
3,2084.93643262842,1,1,10,1,3,0,380.66013
3,5929.37513262842,2,1,10,1,5,0,207.12466
3,5251.46943262842,1,1,10,10,10,6,268.35742
3,3106.25483262842,1,1,9,1,10,0,442.88107
3,7624.13933262842,1,3,7,6,10,10,129.15454
3,8890.75213262842,2,1,10,1,10,0,140.71924
3,6434.79213262842,2,3,9,4,9,0,3095.9194
3,4252.45033262842,1,3,9,1,9,0,40.831852
3,10488.954732628421,1,4,7,9,10,12,732.6615
3,5858.01673262842,1,1,10,1,10,0,203.79459
3,11834.28973262842,2,1,7,1,9,0,716.07721
3,8410.24623262842,1,1,10,1,10,0,124.78287
3,5572.58273262842,2,1,8,1,10,0,798.61401
2,1134.38563262842,1,1,9,5,9,4,1009.3179
3,3992.28773262842,1,1,10,1,10,8,39.708603
2,1558.66763262842,1,1,9,1,9,0,1279.9014
3,6901.63443262842,1,1,8,8,9,4,501.98425
3,3565.62513262842,1,1,10,1,10,0,591.54883
3,7945.25213262842,1,3,7,8,9,5,272.75964
3,4413.00703262842,2,1,8,1,10,0,103.74713
3,7624.13933262842,1,3,7,8,5,7,31.815414
3,5475.01333262842,1,1,9,1,9,0,111.71712
3,13868.00673262842,1,3,8,5,3,10,144.98146
3,4112.40933262842,1,1,8,6,9,4,200.83492
3,11798.61073262842,1,1,8,7,9,6,226.87987
4,16008.76073262842,1,1,9,1,9,0,807.33081
3,4390.09633262842,1,1,10,1,10,0,269.85291
3,13930.44573262842,1,3,2,6,10,5,245.37016
2,1625.56633262842,2,1,7,8,9,0,228.94041000000001
3,7891.73353262842,2,1,9,1,10,0,239.01637
2,1737.06393262842,2,1,10,1,10,0,1122.0004
4,24677.03373262842,2,1,10,1,9,0,1196.6975
2,1380.27153262842,2,1,5,1,10,0,507.11057
3,8456.52463262842,1,1,9,7,7,9,305.05777
3,6879.74483262842,2,3,9,1,5,0,137.10417
3,3012.59683262842,1,1,10,1,10,0,770.5437
3,11241.90073262842,1,3,9,6,10,6,64.610168
1,845.08281262842,1,3,7,5,10,8,72.737602
3,7579.54023262842,1,1,9,6,10,3,554.6781
