name,iso,y,latest,region_wb,incgr,Region,var,Gini,MLD,Sample,Gini_trees_exante,MLD_trees_exante,Gini_trees_exante_rel,MLD_trees_exante_rel,Gini_rforest_exante,MLD_rforest_exante,Gini_rforest_exante_rel,MLD_rforest_exante_rel,Gini_trees_expost,MLD_trees_expost,Gini_trees_expost_rel,MLD_trees_expost_rel
Argentina,ARG,2014,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.3884,0.2759,6632,0.167,0.0438,42.9969104,15.87531714,0.1786,0.0499,45.98352214,18.08626314,0.1773,0.0506,45.64881565,18.33997825
Armenia,ARM,2016,1,Europe & Central Asia,Upper middle income,Asia + Oceania,Income,0.4695,0.4059,1221,0.1783,0.0593,37.97657082,14.60950973,0.2121,0.0813,45.17571885,20.02956393,0.2343,0.3464,49.90415335,85.34121705
Australia,AUS,2005,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3367,0.1941,5684,0.0773,0.0098,22.95812296,5.048943843,0.0894,0.0125,26.55182655,6.439979392,0.0547,0.0057,16.24591625,2.936630603
Australia,AUS,2007,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3439,0.2042,5778,0.0787,0.0101,22.88455946,4.946131244,0.0951,0.0141,27.65338761,6.904995103,0.0643,0.0099,18.69729573,4.848188051
Australia,AUS,2009,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3255,0.1874,6137,0.0563,0.0055,17.29646697,2.934898613,0.0807,0.0102,24.79262673,5.442902882,0.0844,0.0281,25.92933948,14.99466382
Australia,AUS,2011,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3311,0.1902,8184,0.0733,0.0087,22.13832679,4.574132492,0.0873,0.0118,26.3666566,6.203995794,0.0651,0.0073,19.66173362,3.838065195
Australia,AUS,2013,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3309,0.1903,8398,0.0584,0.0065,17.64883651,3.415659485,0.0795,0.01,24.02538531,5.254860746,0.0684,0.0087,20.67089755,4.571728849
Australia,AUS,2015,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3346,0.1923,8625,0.0717,0.0091,21.42857143,4.732189288,0.0884,0.0123,26.4196055,6.39625585,0.073,0.0084,21.81709504,4.368174727
Australia,AUS,2017,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3457,0.2074,8830,0.0709,0.0089,20.50911195,4.291224687,0.0912,0.0131,26.38125542,6.316297011,0.0875,0.0238,25.31096326,11.47540984
Australia,AUS,2019,1,East Asia & Pacific,High income,Asia + Oceania,Income,0.3531,0.2168,8934,0.0806,0.0105,22.82639479,4.843173432,0.0942,0.0136,26.6779949,6.273062731,0.0814,0.013,23.0529595,5.996309963
Austria,AUT,2005,0,Europe & Central Asia,High income,Europe,Income,0.2724,0.134,5424,0.089,0.0148,32.67254038,11.04477612,0.0995,0.0165,36.52716593,12.31343284,0.0965,0.0166,35.42584435,12.3880597
Austria,AUT,2011,0,Europe & Central Asia,High income,Europe,Income,0.2757,0.1397,6446,0.0881,0.0137,31.95502358,9.806728704,0.0914,0.0142,33.15197679,10.16463851,0.089,0.0148,32.28146536,10.59413028
Austria,AUT,2019,1,Europe & Central Asia,High income,Europe,Income,0.2804,0.1555,5726,0.0957,0.0167,34.12981455,10.73954984,0.0988,0.016,35.23537803,10.28938907,0.0908,0.0157,32.38231098,10.09646302
Belgium,BEL,2005,0,Europe & Central Asia,High income,Europe,Income,0.2604,0.1222,2386,0.1067,0.0201,40.97542243,16.44844517,0.1119,0.0206,42.97235023,16.85761047,0.0916,0.0168,35.17665131,13.74795417
Belgium,BEL,2011,0,Europe & Central Asia,High income,Europe,Income,0.2562,0.1253,4846,0.0892,0.0164,34.81654957,13.08858739,0.1056,0.0203,41.21779859,16.20111732,0.1388,0.0354,54.17642467,28.25219473
Belgium,BEL,2019,1,Europe & Central Asia,High income,Europe,Income,0.2428,0.1064,7055,0.0966,0.0179,39.78583196,16.82330827,0.1041,0.0191,42.87479407,17.95112782,0.1071,0.0214,44.11037891,20.11278195
Benin,BEN,2018,1,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3483,0.1988,14338,0.14,0.0361,40.19523399,18.15895372,0.1296,0.032,37.20930233,16.09657948,0.1325,0.0331,38.04191789,16.6498994
Burkina Faso,BFA,2018,1,Sub-Saharan Africa,Low income,Africa,Consumption,0.3792,0.2351,12925,0.1232,0.0424,32.48945148,18.03487877,0.0934,0.0247,24.63080169,10.50616759,0.0991,0.0235,26.13396624,9.995746491
Bulgaria,BGR,2011,0,Europe & Central Asia,Upper middle income,Europe,Income,0.328,0.1959,6633,0.1473,0.0356,44.90853659,18.17253701,0.1468,0.0339,44.75609756,17.30474732,0.1573,0.0405,47.95731707,20.67381317
Bulgaria,BGR,2019,1,Europe & Central Asia,Upper middle income,Europe,Income,0.4065,0.2964,7025,0.222,0.0806,54.61254613,27.19298246,0.198,0.0619,48.70848708,20.88394062,0.19,0.0583,46.7404674,19.66936572
Bolivia,BOL,2008,1,Latin America & Caribbean,Lower middle income,LATAM,Income,0.4999,0.5048,4197,0.2781,0.1311,55.63112623,25.97068146,0.2938,0.1442,58.77175435,28.56576862,0.3405,0.2375,68.11362272,47.04833597
Brazil,BRA,2014,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4875,0.4266,41031,0.3218,0.1652,66.01025641,38.72480075,0.3203,0.1626,65.7025641,38.11533052,0.3393,0.1913,69.6,44.84294421
Switzerland,CHE,2011,0,Europe & Central Asia,High income,Europe,Income,0.2803,0.137,6512,0.0836,0.0119,29.8251873,8.686131387,0.0934,0.0143,33.32144131,10.4379562,0.0744,0.009,26.54298965,6.569343066
Switzerland,CHE,2019,1,Europe & Central Asia,High income,Europe,Income,0.2832,0.1454,5782,0.0843,0.0111,29.76694915,7.634112792,0.0933,0.0147,32.94491525,10.11004127,0.0735,0.0094,25.95338983,6.464924347
Chile,CHL,2006,0,Latin America & Caribbean,High income,LATAM,Income,0.5184,0.4725,97558,0.2686,0.1141,51.8132716,24.14814815,0.2699,0.115,52.06404321,24.33862434,0.3288,0.215,63.42592593,45.5026455
Chile,CHL,2011,0,Latin America & Caribbean,High income,LATAM,Income,0.5142,0.4641,64756,0.2844,0.1274,55.3092182,27.45098039,0.2713,0.1155,52.76157137,24.88687783,0.305,0.1737,59.31544146,37.4272786
Chile,CHL,2013,0,Latin America & Caribbean,High income,LATAM,Income,0.507,0.452,68473,0.2652,0.11,52.30769231,24.33628319,0.2486,0.0963,49.03353057,21.30530973,0.2786,0.1578,54.95069034,34.91150442
Chile,CHL,2015,1,Latin America & Caribbean,High income,LATAM,Income,0.492,0.4577,88309,0.2388,0.0889,48.53658537,19.42320297,0.2477,0.0954,50.34552846,20.84334717,0.3088,0.2321,62.76422764,50.7100721
China,CHN,2010,0,East Asia & Pacific,Upper middle income,Asia + Oceania,Income,0.4961,0.4752,17402,0.2033,0.0683,40.9796412,14.37289562,0.2272,0.0824,45.7972183,17.34006734,0.2661,0.1331,53.63837936,28.00925926
China,CHN,2012,0,East Asia & Pacific,Upper middle income,Asia + Oceania,Income,0.5033,0.5573,21694,0.1719,0.0523,34.15457977,9.384532568,0.1755,0.0522,34.86985893,9.366588911,0.2183,0.1242,43.37373336,22.28602189
China,CHN,2014,0,East Asia & Pacific,Upper middle income,Asia + Oceania,Income,0.4832,0.5256,16981,0.1742,0.0532,36.0513245,10.1217656,0.1965,0.0663,40.66639073,12.61415525,0.2073,0.1037,42.90149007,19.72983257
China,CHN,2016,0,East Asia & Pacific,Upper middle income,Asia + Oceania,Income,0.5186,0.512,17188,0.1649,0.0503,31.79714616,9.82421875,0.2046,0.067,39.45237177,13.0859375,0.2934,0.2089,56.5753953,40.80078125
China,CHN,2018,1,East Asia & Pacific,Upper middle income,Asia + Oceania,Income,0.4972,0.4585,15915,0.1939,0.0615,38.99839099,13.41330425,0.2194,0.076,44.12711183,16.57579062,0.2925,0.1721,58.82944489,37.53544166
Ivory Coast,CIV,2018,1,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3251,0.1726,17069,0.1233,0.0282,37.92679176,16.33835458,0.1025,0.0217,31.52876038,12.57242178,0.1012,0.0195,31.12888342,11.29779838
Colombia,COL,2010,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.5352,0.5471,25924,0.2452,0.1008,45.81464873,18.42441967,0.257,0.1063,48.01943199,19.42972034,0.3328,0.252,62.18236173,46.06104917
Cyprus,CYP,2005,0,Europe & Central Asia,High income,Europe,Income,0.2971,0.1533,7015,0.1206,0.0269,40.59239313,17.54729289,0.1277,0.0279,42.98216089,18.19960861,0.1347,0.0317,45.33826994,20.67840835
Cyprus,CYP,2011,0,Europe & Central Asia,High income,Europe,Income,0.2846,0.1423,5086,0.0954,0.0166,33.52073085,11.66549543,0.1034,0.0185,36.33169361,13.00070274,0.1107,0.0223,38.89669712,15.67111736
Cyprus,CYP,2019,1,Europe & Central Asia,High income,Europe,Income,0.3147,0.169,5515,0.1573,0.0405,49.98411185,23.96449704,0.1603,0.0413,50.9374007,24.43786982,0.1714,0.0489,54.46456943,28.93491124
Czech Rep.,CZE,2005,0,Europe & Central Asia,High income,Europe,Income,0.2682,0.1238,6382,0.0915,0.0144,34.1163311,11.63166397,0.0923,0.0141,34.41461596,11.38933764,0.0873,0.0126,32.55033557,10.17770598
Czech Rep.,CZE,2011,0,Europe & Central Asia,High income,Europe,Income,0.2573,0.1167,6722,0.0803,0.0103,31.20870579,8.8260497,0.0773,0.0094,30.04275165,8.054841474,0.0677,0.0073,26.31169841,6.255355613
Czech Rep.,CZE,2019,1,Europe & Central Asia,High income,Europe,Income,0.2393,0.0987,8300,0.0752,0.009,31.42498955,9.118541033,0.0791,0.0098,33.054743,9.929078014,0.0731,0.0083,30.54743,8.409321175
Germany,DEU,2005,0,Europe & Central Asia,High income,Europe,Income,0.3041,0.1623,8257,0.1314,0.0302,43.20947057,18.60751694,0.1392,0.032,45.77441631,19.71657425,0.1509,0.0402,49.62183492,24.7689464
Germany,DEU,2011,0,Europe & Central Asia,High income,Europe,Income,0.275,0.1397,9825,0.049,0.0043,17.81818182,3.078024338,0.0631,0.0062,22.94545455,4.438081603,0.0513,0.0042,18.65454545,3.006442377
Germany,DEU,2019,1,Europe & Central Asia,High income,Europe,Income,0.2786,0.1382,7354,0.0803,0.011,28.82268485,7.959479016,0.0873,0.0123,31.33524767,8.900144718,0.0738,0.0092,26.48959081,6.657018813
Denmark,DNK,2005,0,Europe & Central Asia,High income,Europe,Income,0.2864,0.1425,2100,0.1539,0.0525,53.73603352,36.84210526,0.1387,0.0373,48.42877095,26.1754386,0.1469,0.0452,51.29189944,31.71929825
Denmark,DNK,2011,0,Europe & Central Asia,High income,Europe,Income,0.2572,0.1238,2153,0.0375,0.0034,14.58009331,2.746365105,0.0486,0.0042,18.89580093,3.392568659,0.0375,0.0035,14.58009331,2.827140549
Denmark,DNK,2019,1,Europe & Central Asia,High income,Europe,Income,0.2684,0.1425,2677,0.0561,0.0055,20.90163934,3.859649123,0.0722,0.008,26.90014903,5.614035088,0.057,0.0052,21.23695976,3.649122807
Ecuador,ECU,2006,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.5204,0.5413,25465,0.295,0.1435,56.68716372,26.51025309,0.2921,0.1375,56.12990008,25.40181046,0.3469,0.2327,66.66026134,42.98910031
Ecuador,ECU,2014,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.455,0.3768,51007,0.227,0.081,49.89010989,21.49681529,0.2289,0.0822,50.30769231,21.81528662,0.273,0.1421,60,37.71231423
Spain,ESP,2005,0,Europe & Central Asia,High income,Europe,Income,0.3118,0.1862,20165,0.104,0.0175,33.35471456,9.398496241,0.1119,0.0201,35.88838999,10.79484425,0.111,0.0205,35.59974343,11.00966702
Spain,ESP,2011,0,Europe & Central Asia,High income,Europe,Income,0.3285,0.203,15624,0.1341,0.0296,40.82191781,14.58128079,0.1279,0.0275,38.93455099,13.54679803,0.1384,0.0328,42.13089802,16.15763547
Spain,ESP,2019,1,Europe & Central Asia,High income,Europe,Income,0.329,0.2111,19315,0.151,0.0376,45.89665653,17.81146376,0.1453,0.0355,44.16413374,16.81667456,0.159,0.0448,48.32826748,21.22216959
Estonia,EST,2005,0,Europe & Central Asia,High income,Europe,Income,0.3347,0.204,6865,0.0873,0.0137,26.08305946,6.715686275,0.0952,0.0145,28.44338213,7.107843137,0.0766,0.0111,22.88616672,5.441176471
Estonia,EST,2011,0,Europe & Central Asia,High income,Europe,Income,0.3211,0.1972,5070,0.0836,0.012,26.03550296,6.085192698,0.0895,0.0128,27.87293678,6.490872211,0.0714,0.0084,22.23606353,4.259634888
Estonia,EST,2019,1,Europe & Central Asia,High income,Europe,Income,0.2804,0.1505,6715,0.0724,0.0087,25.82025678,5.780730897,0.0831,0.0107,29.63623395,7.109634551,0.0814,0.0112,29.0299572,7.441860465
Finland,FIN,2005,0,Europe & Central Asia,High income,Europe,Income,0.2708,0.1318,8402,0.0895,0.0148,33.05022157,11.22913505,0.108,0.0214,39.88183161,16.23672231,0.1206,0.0345,44.53471196,26.17602428
Finland,FIN,2011,0,Europe & Central Asia,High income,Europe,Income,0.2662,0.13,3442,0.0417,0.0031,15.6649136,2.384615385,0.064,0.0077,24.04207363,5.923076923,0.0537,0.0078,20.1728024,6
Finland,FIN,2019,1,Europe & Central Asia,High income,Europe,Income,0.2867,0.143,6229,0.092,0.0142,32.08929194,9.93006993,0.1094,0.0191,38.15835368,13.35664336,0.0935,0.0139,32.61248692,9.72027972
France,FRA,2005,0,Europe & Central Asia,High income,Europe,Income,0.2699,0.1235,12254,0.0939,0.0164,34.79066321,13.27935223,0.1076,0.02,39.86661727,16.19433198,0.1038,0.0188,38.4586884,15.22267206
France,FRA,2011,0,Europe & Central Asia,High income,Europe,Income,0.2951,0.1546,10436,0.0934,0.0149,31.65028804,9.637774903,0.1064,0.0188,36.05557438,12.16041397,0.0991,0.0245,33.58183667,15.84734799
France,FRA,2019,1,Europe & Central Asia,High income,Europe,Income,0.2865,0.1449,10114,0.1114,0.0202,38.88307155,13.94064872,0.1229,0.0279,42.89703316,19.25465839,0.1185,0.0247,41.36125654,17.04623879
United Kingdom,GBR,2005,0,Europe & Central Asia,High income,Europe,Income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,2009,0,Europe & Central Asia,High income,Europe,Income,0.3447,0.2206,15305,0.0876,0.012,25.41340296,5.439709882,0.0947,0.0137,27.47316507,6.210335449,0.0857,0.0118,24.86219901,5.349048051
United Kingdom,GBR,2011,1,Europe & Central Asia,High income,Europe,Income,0.3285,0.1945,14966,0.079,0.0097,24.04870624,4.98714653,0.0869,0.0115,26.45357686,5.912596401,0.08,0.0101,24.35312024,5.192802057
United Kingdom,GBR,2013,0,Europe & Central Asia,High income,Europe,Income,0.3175,0.1819,12903,0.0742,0.0086,23.37007874,4.727872457,0.0795,0.0096,25.03937008,5.277625069,0.0716,0.008,22.5511811,4.398020891
United Kingdom,GBR,2015,0,Europe & Central Asia,High income,Europe,Income,0.3289,0.1969,11792,0.0749,0.0092,22.77287929,4.67242255,0.0807,0.0101,24.53633323,5.129507364,0.0689,0.0089,20.9486166,4.520060945
United Kingdom,GBR,2017,0,Europe & Central Asia,High income,Europe,Income,0.3229,0.1951,10173,0.0735,0.0089,22.76246516,4.561763198,0.0832,0.0108,25.76649117,5.535622758,0.0651,0.0069,20.16104057,3.536647873
United Kingdom,GBR,2019,0,Europe & Central Asia,High income,Europe,Income,0.3287,0.2118,9156,0.0678,0.0079,20.62671129,3.7299339,0.0802,0.01,24.39914816,4.721435316,0.0635,0.0076,19.31852753,3.58829084
Georgia,GEO,2016,1,Europe & Central Asia,Upper middle income,Asia + Oceania,Income,0.4911,0.4271,1317,0.1339,0.0447,27.26532274,10.46593304,0.2079,0.0691,42.33353696,16.17888082,0.1284,0.0315,26.1453879,7.375321939
Ghana,GHA,2013,0,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.423,0.3104,30182,0.1771,0.0547,41.86761229,17.62242268,0.1928,0.0627,45.57919622,20.19974227,0.2073,0.0736,49.0070922,23.71134021
Ghana,GHA,2017,1,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.4204,0.3138,24753,0.1524,0.0391,36.25118934,12.46016571,0.1608,0.0415,38.24928639,13.22498407,0.1715,0.0515,40.79448145,16.41172721
Gambia,GMB,2015,1,Sub-Saharan Africa,Low income,Africa,Income,0.5755,0.6697,28738,0.1988,0.0662,34.54387489,9.885023145,0.1945,0.0583,33.79669852,8.705390473,0.2335,0.1118,40.57341442,16.69404211
Guinea Bissau,GNB,2018,1,Sub-Saharan Africa,Low income,Africa,Consumption,0.3122,0.1582,9793,0.1422,0.0319,45.54772582,20.16434893,0.1343,0.0289,43.0172966,18.26801517,0.1372,0.0292,43.94618834,18.45764855
Greece,GRC,2005,0,Europe & Central Asia,High income,Europe,Income,0.3194,0.1837,8498,0.1164,0.0238,36.44333125,12.95590637,0.1324,0.0281,41.45272386,15.29667937,0.1297,0.0296,40.60738885,16.11322809
Greece,GRC,2011,0,Europe & Central Asia,High income,Europe,Income,0.3289,0.2055,5009,0.1352,0.0332,41.10671937,16.15571776,0.1371,0.0309,41.68440255,15.03649635,0.1443,0.0347,43.87351779,16.88564477
Greece,GRC,2019,1,Europe & Central Asia,High income,Europe,Income,0.306,0.1655,16083,0.1104,0.0202,36.07843137,12.20543807,0.1171,0.0225,38.26797386,13.59516616,0.1261,0.0318,41.20915033,19.21450151
Guatemala,GTM,2000,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.5443,0.5651,14690,0.3181,0.1639,58.44203564,29.00371616,0.3099,0.1521,56.9355135,26.91559016,0.3672,0.3075,67.46279625,54.41514776
