name,iso,y,latest,region_wb,incgr,Region,var,Gini,MLD,Sample,Gini_trees_exante,MLD_trees_exante,Gini_trees_exante_rel,MLD_trees_exante_rel,Gini_rforest_exante,MLD_rforest_exante,Gini_rforest_exante_rel,MLD_rforest_exante_rel,Gini_trees_expost,MLD_trees_expost,Gini_trees_expost_rel,MLD_trees_expost_rel
Peru,PER,2010,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4411,0.3587,25270,0.2646,0.1113,59.98639764,31.0287148,0.2676,0.1132,60.66651553,31.55840535,0.289,0.142,65.51802312,39.58739894
Peru,PER,2011,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4366,0.3528,28610,0.2576,0.1058,59.00137426,29.98866213,0.2547,0.1025,58.33715071,29.05328798,0.2853,0.1449,65.34585433,41.07142857
Peru,PER,2012,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4279,0.3417,29545,0.2517,0.1011,58.82215471,29.58735733,0.2534,0.1021,59.2194438,29.88001171,0.2804,0.137,65.52932928,40.0936494
Peru,PER,2013,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4255,0.3351,34717,0.2473,0.0988,58.11985899,29.4837362,0.256,0.1042,60.16451234,31.09519546,0.2799,0.131,65.78143361,39.09280812
Peru,PER,2014,0,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4156,0.3182,34532,0.2524,0.1025,60.73147257,32.212445,0.2593,0.1065,62.39172281,33.46951603,0.2844,0.134,68.43118383,42.11187932
Peru,PER,2015,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4225,0.327,34607,0.2604,0.1092,61.63313609,33.39449541,0.2673,0.113,63.26627219,34.55657492,0.2865,0.1361,67.81065089,41.62079511
Poland,POL,2005,0,Europe & Central Asia,High income,Europe,Income,0.3573,0.2362,24921,0.1329,0.0286,37.19563392,12.10838273,0.1251,0.0257,35.01259446,10.88060965,0.1276,0.0313,35.71228659,13.2514818
Poland,POL,2011,0,Europe & Central Asia,High income,Europe,Income,0.3144,0.1777,14602,0.0926,0.0142,29.45292621,7.990996061,0.0966,0.015,30.72519084,8.441193022,0.0995,0.0181,31.6475827,10.18570625
Poland,POL,2019,1,Europe & Central Asia,High income,Europe,Income,0.2818,0.1465,17227,0.0844,0.0112,29.95031938,7.645051195,0.0882,0.0122,31.29879347,8.327645051,0.0925,0.0134,32.82469837,9.146757679
Portugal,PRT,2005,0,Europe & Central Asia,High income,Europe,Income,0.3775,0.2507,7453,0.1786,0.0554,47.31125828,22.09812525,0.1861,0.0577,49.29801325,23.01555644,0.1804,0.055,47.78807947,21.938572
